-;-;-;-;-;-;-;-;;;;;-;-;-;-;-;-;-;;;;;;
-;.;@;.;.;.;.;-;;;#;#;+;.;.;.;.;.;-;;;;#;#;#
-;.;.;.;.;.;.;-;;;#;;-;.;.;.;.;.;-;;;;#;;#
-;.;.;.;.;.;.;+;#;#;#;;-;.;.;.;.;.;+;#;#;#;#;;#
-;.;.;.;.;.;.;-;;;;;-;.;.;.;.;.;-;;;;;;#
-;.;.;.;.;.;.;-;;#;#;#;+;.;.;.;.;.;-;;;;;;#
-;.;.;.;.;.;.;-;;#;;;-;-;-;-;+;-;-;;;;;;#
-;-;-;-;+;-;-;-;;#;;;;;;;#;;;;#;#;#;#;#
;;;;#;;;;;#;;;;;;;#;;;;#;;;;
;;;;#;;;;;#;;;;;;;#;;-;-;+;-;-;-;
;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;;-;.;.;.;.;-;
;;;;;;;;;;;;;;;;;;-;.;.;.;=;-;
;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;
